"","Firstcol","V2","V3","V4"
"1","Scenario",NA,NA,NA
"2","Equilibrium price (true values)",24.6398970122227,12.4987381167949,25.6758057944771
"3","LEM price (true values)",27.3054566755863,12.508214897909,28.0761868140514
"4","Revenue (true values)",1113.83873098203,3454.61531412265,1035.90445718634
"5","Revenue (predicted values)",1108.88242547461,3451.69312277055,1036.12475382767
"6","Cost (true values)",439.261274362602,200.747591471466,451.602610427136
"7","Cost (predicted values)",457.94053520585,226.611771975402,470.690471600184
"8","Cost (no LEM)",459.828928512882,459.828928512882,459.828928512882
"9","Savings due to LEM (in %)",4.82210346661079,129.083568537492,1.89549596459506
"10","Loss due to prediction errors (in %)",-4.79894261974678,-13.7492077556107,-4.75942270264451
